Time	Word	Category	URL
Tue Nov 07 19:12:11 2017	ujigami	filtered	https://www.nytimes.com/2017/11/07/travel/shrine-at-japan-festival.html
Tue Nov 07 19:12:15 2017	ganbarro	filtered	https://www.nytimes.com/2017/11/07/travel/shrine-at-japan-festival.html
Tue Nov 07 19:12:25 2017	yamahoko	filtered	https://www.nytimes.com/2017/11/07/travel/shrine-at-japan-festival.html
Wed Nov 08 10:01:04 2017	rememed	affix	https://www.nytimes.com/2017/11/08/opinion/anger-women-weinstein-assault.html
Wed Nov 08 11:01:14 2017	andpinyon	filtered	https://www.nytimes.com/2017/11/08/sports/navajo-ultramarathon-canyon-de-chelly.html
Wed Nov 08 11:01:42 2017	underdramatic	affix	https://www.nytimes.com/2017/11/08/books/review/purloining-prince-oleomargarine-philip-stead-mark-twain.html
Wed Nov 08 11:02:00 2017	hyperhysteria	affix	https://www.nytimes.com/2017/11/08/books/review/purloining-prince-oleomargarine-philip-stead-mark-twain.html
Wed Nov 08 13:01:19 2017	verbolect	filtered	https://www.nytimes.com/2017/11/08/arts/design/what-to-see-in-new-york-art-galleries-this-week.html
Wed Nov 08 23:01:13 2017	fluffypoos	blend	https://www.nytimes.com/2017/11/08/nyregion/where-the-dogs-are.html
Wed Nov 08 23:01:15 2017	shaggydoodles	compound new	https://www.nytimes.com/2017/11/08/nyregion/where-the-dogs-are.html
Thu Nov 09 00:01:14 2017	presenence	filtered	https://www.nytimes.com/2017/11/08/obituaries/tzipora-jochsberger-founder-of-a-jewish-arts-school-dies-at-96.html
Thu Nov 09 01:01:46 2017	initiativeson	filtered	https://www.nytimes.com/2017/11/08/health/medicaid-expansion-states.html
Thu Nov 09 02:01:13 2017	unrepulsed	affix	https://www.nytimes.com/2017/11/08/opinion/trump-virginia-democrats-inclusion.html
Thu Nov 09 04:01:17 2017	streakwise	affix	http://www.nytimes.com/2017/11/08/crosswords/daily-puzzle-2017-11-09.html
Thu Nov 09 06:01:05 2017	aurais	filtered	https://www.nytimes.com/2017/11/09/arts/music/charlotte-gainsbourg-rest.html
Thu Nov 09 20:01:14 2017	immunostained	domain	https://www.nytimes.com/2017/11/09/sports/aaron-hernandez-brain-cte.html
Fri Nov 10 11:01:24 2017	gasbagging	compound comp	https://www.nytimes.com/2017/11/10/opinion/the-vacuity-of-the-vice-president.html
Fri Nov 10 16:01:26 2017	sadaesasang	filtered	https://www.nytimes.com/2017/11/10/magazine/in-the-debate-over-north-korea-does-anyone-care-what-south-korea-thinks.html
Fri Nov 10 22:01:30 2017	codpieced	deriv	https://www.nytimes.com/2017/11/10/books/review/bruce-dickinson-what-does-this-button-do-iron-maiden-memoir.html
Sat Nov 11 12:01:27 2017	oushe	filtered	https://www.nytimes.com/2017/11/11/travel/reems-oakland-restaurant-review.html
Sat Nov 11 12:01:32 2017	ajinaat	filtered	https://www.nytimes.com/2017/11/11/travel/reems-oakland-restaurant-review.html
Sat Nov 11 12:01:34 2017	sfoof	onomatopoeia	https://www.nytimes.com/2017/11/11/travel/reems-oakland-restaurant-review.html
Sat Nov 11 20:01:51 2017	epistemes	domain	https://www.nytimes.com/2017/11/11/opinion/sunday/history-totally-destroyed.html
Sun Nov 12 18:01:01 2017	shadowses	deriv	https://www.nytimes.com/2017/11/12/us/nsa-shadow-brokers.html
Sun Nov 12 18:01:03 2017	hackeres	filtered	https://www.nytimes.com/2017/11/12/us/nsa-shadow-brokers.html
Mon Nov 13 03:01:17 2017	gormagander	filtered	https://www.nytimes.com/2017/11/12/arts/television/star-trek-discovery-season-1-episode-9-recap.html
Mon Nov 13 03:01:18 2017	decloak	deriv	https://www.nytimes.com/2017/11/12/arts/television/star-trek-discovery-season-1-episode-9-recap.html
Mon Nov 13 11:01:39 2017	flagpoled	deriv	https://www.nytimes.com/2017/11/13/magazine/how-the-resistance-helped-democrats-dominate-virginia.html
Mon Nov 13 12:01:46 2017	pseudoraw	affix	https://www.nytimes.com/2017/11/13/books/review/the-kardashians-jerry-oppenheimer-raising-trump-ivana-trump.html
Mon Nov 13 16:00:56 2017	offcumdens	dialect	https://www.nytimes.com/2017/11/13/world/europe/yorkshire-uk-happiness.html
Mon Nov 13 17:01:15 2017	nucleobases	domain	https://www.nytimes.com/2017/11/13/health/supercentenarians-genetics-longevity.html
