Time,Word,Category,URL,Sentence Example
Tue Nov 07 19:12:11 2017,ujigami,filtered,https://www.nytimes.com/2017/11/07/travel/shrine-at-japan-festival.html,"As Hirota put it, carrying the shrine would “show off our manpower” and prove to the unseen spirit inside, known as an ujigami, that the people in the small town of Miyoshi in Chiba prefecture were strong enough to take care of their community for yet another year.“How much does it weigh?”“You’re about to find out.”Hirota helped me into my robe, tying all the knots for me, instead of guiding me through.Unlike ours, their ujigami was ensconced in a large, wheeled float that was covered in paper lanterns and pulled by its bearers via two enormous dockyard ropes.Also unlike ours, their procession was musical.An ujigami is a Shinto deity and therefore has no name, no features, no disposition, but it can retain a certain characteristic.Whereas our ujigami liked to be jostled and bobbed like an upside down pendulum, this one liked music.)—scenting the air with licorice—and every summer night bush-league yakuza rattle past your windows, gunning motorcycle engines.There’s a delicate balance to it all that is held together by a community willing to bend and band together.But what happens to a place when its people are no longer strong enough to take care of their community another year?I watched the procession disappear back into its neighborhood for the last time, where the drumbeats faded to a murmur: the sound of an ujigami retiring.“Even if I drink sake, my spirit doesn’t get drunk, until the matsuri is over,” our kiyari-shu sang."
Tue Nov 07 19:12:15 2017,ganbarro,filtered,https://www.nytimes.com/2017/11/07/travel/shrine-at-japan-festival.html,"Hirota listened to my excuses, from lingering back pain (real), a possible sun allergy (invented), to a sudden trip I remembered planning that fell on the same weekend (shameless), and rebuffed them all with a single word, “ganbarro”— “We’ll do our best.”So there we were, swaddled like Hare Krishnas and ready to measure ourselves against the generations of ancestors who came before us to perform the exact same task.When volunteers were called up to the line, without thought I stepped forward.By the samurai of dubious origin.What happened to ganbarro?The tradition of carrying the mikoshi is centuries deep, though which exact century is still up in the air."
Tue Nov 07 19:12:25 2017,yamahoko,filtered,https://www.nytimes.com/2017/11/07/travel/shrine-at-japan-festival.html,"It spans the entire month of July and features numerous events; the highlight occurs on July 17: an extravagant procession of 32 ornately decorated floats, known as yamahoko, which have been recognized by Unesco’s World Heritage list for their outstanding cultural value.AdvertisementContinue reading the main storySite IndexSite Information Navigation© 2020 The New York Times CompanyNYTCoContact UsWork with usAdvertiseT Brand StudioYour Ad ChoicesPrivacyTerms of ServiceTerms of SaleSite MapHelpSubscriptions"
Wed Nov 08 10:01:04 2017,rememed,affix,https://www.nytimes.com/2017/11/08/opinion/anger-women-weinstein-assault.html,"Thurman’s rage is palpable yet contained, conveying not just the tempestuous depths of #MeToo but a profound understanding of the ways that female anger is received and weaponized against women.In the past few months alone we’ve seen Carmen Yulín Cruz, mayor of San Juan, Puerto Rico, pilloried by the far right for criticizing Donald Trump’s anemic response to Hurricane Maria (“We are dying here,” Cruz told the news media, “I am mad as hell.”) and the Florida congresswoman Frederica Wilson deluged with abuse after she characterized Trump’s call to the military widow Myeshia Johnson as “insensitive” and “an insult.” Both Cruz and Wilson were directly targeted by the president on Twitter, then incessantly memed and regurgitated and redigested and rememed by his obedient online horde.Just this week, Juli Briskman, a government contractor, lost her job after a photo of her flipping off the presidential motorcade went viral."
Wed Nov 08 11:01:14 2017,pinyon,filtered,https://www.nytimes.com/2017/11/08/sports/navajo-ultramarathon-canyon-de-chelly.html,"Cedar and pinyon logs had burned to embers in the desert chill, blue corn mush had been spooned out and a Navajo medicine man had waved an eagle feather fan and offered blessings to the dawn.About 150 runners began to slog through miles of sand toward the darkened mouth of the canyon."
Wed Nov 08 11:01:42 2017,underdramatic,affix,https://www.nytimes.com/2017/11/08/books/review/purloining-prince-oleomargarine-philip-stead-mark-twain.html,"The tale of Johnny, his chicken, a cast of subsidiary talking animals and an arbitrary-minded king whose posted edicts supply much of the story’s humor, and eventually its title, is perhaps underdramatic by the standards of modern storytelling for children."
Wed Nov 08 11:02:00 2017,hyperhysteria,affix,https://www.nytimes.com/2017/11/08/books/review/purloining-prince-oleomargarine-philip-stead-mark-twain.html,"But the stately unfolding of Twain’s adapted outline also feels refreshing in its rejection of the hyperhysteria and violence that fills so many children’s books now, putting in its place of a kind of charmingly paced lugubriousness."
Wed Nov 08 13:01:19 2017,verbolect,filtered,https://www.nytimes.com/2017/11/08/arts/design/what-to-see-in-new-york-art-galleries-this-week.html,"Now a collective called NonCoreProjector, which includes Mr. O’Connor, Mr. Carpenter, Jack Colton and Elias Jarzombek, has created “verbolect” at the Boiler, based on Cleverbot.To experience the work, you can sit on a beanbag chair and listen to Cleverbot talk to itself, asking questions and providing answers derived from a stored memory of past conversations."
Wed Nov 08 23:01:13 2017,fluffypoos,blend,https://www.nytimes.com/2017/11/08/nyregion/where-the-dogs-are.html,"Lemon’s refusal to join the off-leash circus stems, as far as my wife and I can tell, from a single traumatic puppyhood experience, or as we ruefully call it, “The Day That One Dog Chased Her.” So the three of us watch from the footpaths while the other dogs frolic.On a given morning you can see every kind of dog Brooklyn has to offer: the purebreds and the rescue mutts and the in-betweeners, fluffypoos and shaggydoodles whose DNA is a designer cocktail of cute.They come in all sizes."
Wed Nov 08 23:01:15 2017,shaggydoodles,compound new,https://www.nytimes.com/2017/11/08/nyregion/where-the-dogs-are.html,"Lemon’s refusal to join the off-leash circus stems, as far as my wife and I can tell, from a single traumatic puppyhood experience, or as we ruefully call it, “The Day That One Dog Chased Her.” So the three of us watch from the footpaths while the other dogs frolic.On a given morning you can see every kind of dog Brooklyn has to offer: the purebreds and the rescue mutts and the in-betweeners, fluffypoos and shaggydoodles whose DNA is a designer cocktail of cute.They come in all sizes."
